out,row_names
7,GBAA4769
7,GBAA4799
7,GBAA4833
7,GBAA4858
7,GBAA4885
7,GBAA4890
7,GBAA4893
7,GBAA4901
7,GBAA5075
7,GBAA5157
7,GBAA5158
7,GBAA5180
7,GBAA5181
7,GBAA5266
7,GBAA5296
7,GBAA5327
7,GBAA5328
7,GBAA5329
7,GBAA5412
7,GBAA5421
7,GBAA5427
7,GBAA5474
7,GBAA5605
7,GBAA5637
7,GBAA5729
7,GBAA5730
7,GBAA5731
7,GBAA_PXO1_0034
7,GBAA_PXO1_0035
7,GBAA_PXO1_0036
7,GBAA_PXO1_0037
7,GBAA_PXO1_0124
7,GBAA_PXO1_0199
8,GBAA0011
8,GBAA0130
8,GBAA0131
8,GBAA0132
8,GBAA0133
8,GBAA0134
8,GBAA0135
8,GBAA0136
8,GBAA0137
8,GBAA0138
8,GBAA0139
8,GBAA0293
8,GBAA0296
8,GBAA0297
8,GBAA0307
8,GBAA0345
8,GBAA0381
8,GBAA0391
8,GBAA0392
8,GBAA0404
8,GBAA0413
8,GBAA0414
8,GBAA0531
8,GBAA0685
8,GBAA0722
8,GBAA0723
8,GBAA0724
8,GBAA0783
8,GBAA0884
8,GBAA0957
8,GBAA0975
8,GBAA0983
8,GBAA1001
8,GBAA1056
8,GBAA1095
8,GBAA1096
8,GBAA1142
8,GBAA1192
8,GBAA1193
8,GBAA1194
8,GBAA1269
8,GBAA1372
8,GBAA1482
8,GBAA1537
8,GBAA1538
8,GBAA1621
8,GBAA1660
8,GBAA1670
8,GBAA1671
8,GBAA1672
8,GBAA1693
8,GBAA1694
8,GBAA1695
8,GBAA1818
8,GBAA1869
8,GBAA1871
8,GBAA1958
8,GBAA1984
8,GBAA1985
8,GBAA2039
8,GBAA2048
8,GBAA2130
8,GBAA2131
8,GBAA2163
8,GBAA2164
8,GBAA2187
8,GBAA2188
8,GBAA2199
8,GBAA2204
8,GBAA2216
8,GBAA2238
8,GBAA2302
8,GBAA2313
8,GBAA2397
8,GBAA2398
8,GBAA2441
8,GBAA2442
8,GBAA2529
8,GBAA2561
8,GBAA2571
8,GBAA2598
8,GBAA2714
8,GBAA2714_X
8,GBAA2826
8,GBAA2846
8,GBAA2917
8,GBAA2953
8,GBAA2954
8,GBAA2955
8,GBAA2956
8,GBAA2957
8,GBAA2958
8,GBAA3066
8,GBAA3067
8,GBAA3097
8,GBAA3154
8,GBAA3186
8,GBAA3363
8,GBAA3364
8,GBAA3365
8,GBAA3380
8,GBAA3395
8,GBAA3599
8,GBAA3657
8,GBAA3798
8,GBAA3877
8,GBAA3893
8,GBAA3925
8,GBAA3933
8,GBAA3991
8,GBAA4034
8,GBAA4208
8,GBAA4209
8,GBAA4237
8,GBAA4368
8,GBAA4402
8,GBAA4403
8,GBAA4457
8,GBAA4476
8,GBAA4487
8,GBAA4689
8,GBAA4794
8,GBAA4849
8,GBAA4878
8,GBAA4991
8,GBAA5089
8,GBAA5294
8,GBAA5295
8,GBAA5314
8,GBAA5389
8,GBAA5391
8,GBAA5392
8,GBAA5419
8,GBAA5420
8,GBAA5508
8,GBAA5512
8,GBAA5513
8,GBAA5514
8,GBAA5515
8,GBAA5516
8,GBAA5517
8,GBAA5518
8,GBAA5594
8,GBAA5595
8,GBAA5627
8,GBAA5651
8,GBAA5690
9,GBAA0013
9,GBAA1775
9,GBAA1776
9,GBAA1979
9,GBAA2546
9,GBAA4040
9,GBAA5468
10,GBAA0016
10,GBAA0145
10,GBAA0217
10,GBAA0302
10,GBAA0362
10,GBAA0416
10,GBAA0418
10,GBAA0424
10,GBAA0521
10,GBAA0523
10,GBAA0586
10,GBAA0608
10,GBAA0609
10,GBAA0756
10,GBAA0759
10,GBAA0817
10,GBAA0819
10,GBAA0833
10,GBAA0840
10,GBAA0948
10,GBAA1172
10,GBAA1175
10,GBAA1322
10,GBAA1323
10,GBAA1324
10,GBAA1335
10,GBAA1628
10,GBAA1989
10,GBAA1993
10,GBAA1993_X
10,GBAA2105
10,GBAA2160
10,GBAA2160_X
10,GBAA2247
10,GBAA2680
10,GBAA2749
10,GBAA3113
10,GBAA3122
10,GBAA3258
10,GBAA3450
10,GBAA3457
10,GBAA3464
10,GBAA3589
10,GBAA3604
10,GBAA3804
10,GBAA4108
10,GBAA4110
10,GBAA4112
10,GBAA4113
10,GBAA4126
10,GBAA4173
10,GBAA4288
10,GBAA4428
10,GBAA4452
10,GBAA4657
10,GBAA4658
10,GBAA4686
10,GBAA4814
10,GBAA4903
10,GBAA4951
10,GBAA4968
10,GBAA4989
10,GBAA5093
10,GBAA5118
10,GBAA5136
10,GBAA5191
10,GBAA5199
10,GBAA5238
10,GBAA5305
10,GBAA5307
10,GBAA5322
10,GBAA5323
10,GBAA5375
10,GBAA5376
10,GBAA5377
10,GBAA5410
10,GBAA5471
10,GBAA5484
10,GBAA5489
10,GBAA5668
10,GBAA5698
11,GBAA0017
11,GBAA0343
11,GBAA0577
11,GBAA0800
11,GBAA0835
11,GBAA0845
11,GBAA1182
11,GBAA1351
11,GBAA1379
11,GBAA1380
11,GBAA1515
11,GBAA1517
11,GBAA1649
11,GBAA1777
11,GBAA1860
11,GBAA2241
11,GBAA2290
11,GBAA2896
11,GBAA2949
11,GBAA3205
11,GBAA3344
11,GBAA3667
11,GBAA4033
11,GBAA4280
11,GBAA4522
11,GBAA4523
11,GBAA4829
11,GBAA4912
11,GBAA4921
11,GBAA5687
11,GBAA5710
12,GBAA0019
12,GBAA0022
12,GBAA0100
12,GBAA0224
12,GBAA0236
12,GBAA0304
12,GBAA0305
12,GBAA0620
12,GBAA0666
12,GBAA0667
12,GBAA0688
12,GBAA0701
12,GBAA0702
12,GBAA0703
12,GBAA1135
12,GBAA1211
12,GBAA1309
12,GBAA1371
12,GBAA1386
12,GBAA1387
12,GBAA1388
12,GBAA1389
12,GBAA1390
12,GBAA1590
12,GBAA1865
12,GBAA2057
12,GBAA3661
12,GBAA3742
12,GBAA3754
12,GBAA3915
12,GBAA3983
12,GBAA3985
12,GBAA4272
12,GBAA4273
12,GBAA4381
12,GBAA4398
12,GBAA4622
12,GBAA4624
12,GBAA4636
12,GBAA4820
12,GBAA4930
12,GBAA5635
12,GBAA5663
12,GBAA5671
12,GBAA5688
12,GBAA5712
12,GBAA5713
12,GBAA5714
13,GBAA0024
13,GBAA0151
13,GBAA0251
13,GBAA0497
13,GBAA0639
13,GBAA0640
13,GBAA0641
13,GBAA0642
13,GBAA0971
13,GBAA1019
13,GBAA1020
13,GBAA1218
13,GBAA1343
13,GBAA1490
13,GBAA1491
13,GBAA1492
13,GBAA1550
13,GBAA1596
13,GBAA1609
13,GBAA1610
13,GBAA1611
13,GBAA1615
13,GBAA1755
13,GBAA1904
13,GBAA1946
13,GBAA2012
13,GBAA2104
13,GBAA2254
13,GBAA2395
13,GBAA2465
13,GBAA2543
13,GBAA2702
13,GBAA2703
13,GBAA2708
13,GBAA2709
13,GBAA2738
13,GBAA2815
13,GBAA2821
13,GBAA3102
13,GBAA3637
13,GBAA3638
13,GBAA3642
13,GBAA3844
13,GBAA4012
13,GBAA4410
13,GBAA4411
13,GBAA4412
13,GBAA4413
13,GBAA4414
13,GBAA4415
13,GBAA4416
13,GBAA4417
13,GBAA4418
13,GBAA4530
13,GBAA4531
13,GBAA4643
13,GBAA4645
13,GBAA4678
13,GBAA4679
13,GBAA4703
